language,latitude,longitude,color,family,subgroup,country
Maleu [mgl],-5.667,148.333,#BB77BB,Oceanic,Western Oceanic,Papua New Guinea
Manam [mva],-4.083,145.083,#B642AB,Oceanic,Western Oceanic,Papua New Guinea
Mangap-Mbula [mna],-5.667,148.083,#C2519C,Oceanic,Western Oceanic,Papua New Guinea
Maori [mri],-37,175,#AF9E67,Oceanic,Central Pacific,New Zealand
Marshallese [mah],12.5,162.5,#F3787C,Oceanic,Micronesian,USA Federated States of Micronesia
Mekeo [mek],-8.5,146.467,#8638A8,Oceanic,Western Oceanic,Papua New Guinea
Mokilese [mkj],6.667,159.75,#E47775,Oceanic,Micronesian,USA Federated States of Micronesia
MonoAlu [mte],-7.167,155.917,#B45253,Oceanic,Western Oceanic,Solomons
Motu [meu],-9.5,147.25,#92569F,Oceanic,Western Oceanic,Papua New Guinea
Musom [msu],-6.5,146.917,#B863B5,Oceanic,Western Oceanic,Papua New Guinea
Mussau [emi],-1.5,149.667,#DC535B,Oceanic,StMatthias,Papua New Guinea
Mwotlap [mlv],-13.7,167.63,#C16BA1,Oceanic,Southern Oceanic,Vanuatu
Nakanai [nak],-5.5,150.833,#DD6A76,Oceanic,Western Oceanic,Papua New Guinea
Nalik [nal],-2.917,151.333,#E1438D,Oceanic,Western Oceanic,Papua New Guinea
V'ënen Taut [nmb],-16.027,167.176,#C248A8,Oceanic,Southern Oceanic,Vanuatu
Nauru [nau],-0.5,166.917,#DC5D5C,Oceanic,Micronesian,Nauru
Nehan [nsn],-4.5,154.167,#D44565,Oceanic,Western Oceanic,Papua New Guinea
Nelemwa [nee],-20.25,164.083,#DC6962,Oceanic,Southern Oceanic,New Caledonia
Nengone [nen],-21.5,167.667,#D4945A,Oceanic,Southern Oceanic,New Caledonia
Nguna [llp],-17.5,168.333,#CC4485,Oceanic,Southern Oceanic,Vanuatu
Niue [niu],-19,-169.5,#E89F55,Oceanic,Central Pacific,Niue
Paamese [pma],-16.505,168.217,#BF4399,Oceanic,Southern Oceanic,Vanuatu
Patep [ptp],-7,146.667,#C6A7B3,Oceanic,Western Oceanic,Papua New Guinea
Pileni [piv],-10,167.333,#CE878A,Oceanic,Central Pacific,Solomons
Ponapean [pon],6.883,158.25,#E57472,Oceanic,Micronesian,USA Federated States of Micronesia
Puluwat [puw],7.333,149.333,#EC8E73,Oceanic,Micronesian,USA Federated States of Micronesia
Rapa Nui [rap],-27.333,-110,#BBA467,Oceanic,Central Pacific,Chile
Rotuman [rtm],-12.333,177,#D6586A,Oceanic,Central Pacific,Fiji
Roviana [rug],-8.25,157.333,#DF5441,Oceanic,Western Oceanic,Solomons
Sa'a [apb],-9.5,161.583,#DB3E7D,Oceanic,Southeast Solomonic,Solomons
Sakao [sku],-15,166.783,#B43CA1,Oceanic,Southern Oceanic,Vanuatu
Saliba [sbe],-10.667,150.75,#9767A0,Oceanic,Western Oceanic,Papua New Guinea
Samoan [smo],-14,-172.667,#C09D7D,Oceanic,Central Pacific,Samoa
Siar [sjr],-5,153.333,#C7734D,Oceanic,Western Oceanic,Papua New Guinea
Sinaugoro [snc],-9.833,147.917,#A258AF,Oceanic,Western Oceanic,Papua New Guinea
Sio [xsi],-6,147.333,#BB55A0,Oceanic,Western Oceanic,Papua New Guinea
Sisiqa [bbq],-7.133,157,#DC5F5B,Oceanic,Western Oceanic,Solomons
Sobei [sob],-1.917,138.75,#C76B9B,Oceanic,Western Oceanic,Indonesia
Sonsorol [sov],4.5,132.083,#E58864,Oceanic,Micronesian,Palau
Sudest [tgo],-11.5,153.5,#C93D93,Oceanic,Western Oceanic,Papua New Guinea
Tahitian [tah],-17.667,-149,#C69564,Oceanic,Central Pacific,French Polynesia
Taiof [sps],-5.583,154.583,#C6407B,Oceanic,Western Oceanic,Papua New Guinea
Takia [tbc],-4.75,146,#B45AA1,Oceanic,Western Oceanic,Papua New Guinea
Tawala [tbo],-10.333,150.5,#AC4599,Oceanic,Western Oceanic,Papua New Guinea
Teop [tio],-5.667,155.083,#D8536B,Oceanic,Western Oceanic,Papua New Guinea
Tigak [tgc],-2.75,150.917,#EB6D7F,Oceanic,Western Oceanic,Papua New Guinea
Tiri [cir],-21.667,165.75,#C7984E,Oceanic,Southern Oceanic,New Caledonia
Tobati [tti],-2.583,140.867,#8466B9,Oceanic,Western Oceanic,Indonesia
Tokelauan [tkl],-9.15,-171.78,#C9B76F,Oceanic,Central Pacific,Tokelau
Tolai [ksd],-4.225,151.835,#CF854D,Oceanic,Western Oceanic,Papua New Guinea
Tongan [ton],-21.167,-175.25,#BAA374,Oceanic,Central Pacific,Tonga
Toqabaqita [mlu],-8.333,160.667,#E0289F,Oceanic,Southeast Solomonic,Solomons
Tumleo [tmq],-3.083,142.417,#FB7E9D,Oceanic,Western Oceanic,Papua New Guinea
Tungak [lcm],-2,152,#C37476,Oceanic,Western Oceanic,Papua New Guinea
Tuvalu [tvl],-10,180,#BDB564,Oceanic,Central Pacific,Tuvalu
Ura [uur],-18.628,169.097,#9F4A94,Oceanic,Southern Oceanic,Vanuatu
Woleaian [woe],7.333,143.833,#F27E76,Oceanic,Micronesian,USA Federated States of Micronesia
Amis [ami],23.333,121.333,#B4912F,Austronesian,East Formosan,Taiwan
Paiwan [pwn],22.333,120.833,#AB703A,Austronesian,Paiwanic,Taiwan
Palauan [pau],7.167,134.5,#C3674B,Malayo-Polynesian,Palauan,Palau
Bajau_Semporna [ssb],4.5,118.5,#F07A66,Malayo-Polynesian,Barito,Indonesia
Ambai [amk],-1.917,136.533,#D2719F,Malayo-Polynesian,Eastern Malayo-Polynesian,Indonesia
Biak [bhw],-1.14,136,#CB6CA1,Malayo-Polynesian,Eastern Malayo-Polynesian,Indonesia
Buli [bzq],0.833,128.5,#D76D75,Malayo-Polynesian,Eastern Malayo-Polynesian,Indonesia
Irarutu [irh],-3,133.5,#D54FA1,Malayo-Polynesian,Eastern Malayo-Polynesian,Indonesia
Mor [mhz],-2.917,135.75,#B169A7,Malayo-Polynesian,Eastern Malayo-Polynesian,Indonesia
Taba [mky],0.333,127.583,#CF7B96,Malayo-Polynesian,Eastern Malayo-Polynesian,Indonesia
Tboli [tbl],6.167,124.5,#C4825E,Malayo-Polynesian,Philippines,Philippines
Western Bukidnon Manobo [mbb],7.667,124.833,#D18638,Malayo-Polynesian,Philippines,Philippines
Bugis [bug],-4,120,#CD5842,Malayo-Polynesian,Greater South Sulawesi,Indonesia
Konjo [kjc],-5.333,119.833,#D45541,Malayo-Polynesian,Greater South Sulawesi,Indonesia
Makassar [mak],-5.417,119.583,#CB5C41,Malayo-Polynesian,Greater South Sulawesi,Indonesia
Muna [mnb-2],-5,122.417,#D5525D,Malayo-Polynesian,Celebic,Indonesia
Tolaki [lbw],-4,122.25,#B74C52,Malayo-Polynesian,Celebic,Indonesia
Tondano [tdn],1.25,125,#EE9853,Malayo-Polynesian,Philippines,Indonesia
Toratan [rth],1.083,124.833,#C88752,Malayo-Polynesian,Philippines,Indonesia
Tukang Besi [khc],-5.5,123.667,#C35553,Malayo-Polynesian,Celebic,Indonesia
Uma [ppk],-1.75,119.917,#D86164,Malayo-Polynesian,Celebic,Indonesia
Wolio [wlo],-5.5,122.75,#CD545D,Malayo-Polynesian,Celebic,Indonesia
Acehnese [ace],5.333,96.167,#E08462,Malayo-Polynesian,Malayo-Sumbawan,Indonesia
Balinese [ban],-8.583,115.25,#ECA168,Malayo-Polynesian,Malayo-Sumbawan,Indonesia
Batak_Karo [btx],3,98.167,#CA6E57,Malayo-Polynesian,Batak-Barrier Islands,Indonesia
Toba Batak [bbc],2.5,99.5,#D86E56,Malayo-Polynesian,Batak-Barrier Islands,Indonesia
Cham_Eastern [cjm],10.93,108.1,#E7D898,Malayo-Polynesian,Malayo-Sumbawan,Vietnam
Cham_Western [cja],12,105.5,#F1D3A3,Malayo-Polynesian,Malayo-Sumbawan,Cambodia
Enggano [eno],-5.333,102.25,#DD7159,Malayo-Polynesian,Batak-Barrier Islands,Indonesia
Iban [iba],2,112,#EFB674,Malayo-Polynesian,Malayo-Sumbawan,Malaysia
Indonesian [ind],-2.5,104.75,#DE8F58,Malayo-Polynesian,Malayo-Sumbawan,Indonesia
Javanese [jav],-7.5,110.667,#EE9B62,Malayo-Polynesian,Javanic,Indonesia
Lampung [ljp],-5,105,#E5966D,Malayo-Polynesian,Lampungic,Indonesia
Madurese [mad],-7.25,113.333,#E8A059,Malayo-Polynesian,Malayo-Sumbawan,Indonesia
Manadonese [xmm],1.5,124.833,#D2B970,Malayo-Polynesian,Malayo-Sumbawan,Indonesia
Mentawai [mwv],-1.5,99,#E98E68,Malayo-Polynesian,Batak-Barrier Islands,Indonesia
Minangkabau [min],-0.95,100.36,#E19565,Malayo-Polynesian,Malayo-Sumbawan,Indonesia
Nias [nia],1,97.5,#CC7951,Malayo-Polynesian,Batak-Barrier Islands,Indonesia
Simalur [smr],2.333,96.5,#E46060,Malayo-Polynesian,Batak-Barrier Islands,Indonesia
Sundanese [sun],-6.92,107.62,#F2B06D,Malayo-Polynesian,Malayo-Sumbawan,Indonesia
Urak Lawoi' [urk],7.25,99.25,#EBC695,Malayo-Polynesian,Malayo-Sumbawan,Thailand
Rukai [dru],22.833,120.833,#B97C49,Austronesian,Rukai,Taiwan
Tsou [tsu],23.5,120.75,#B88366,Austronesian,Tsouic,Taiwan
Yap [yap],9.53,138.1,#C65949,Oceanic,Yap,Yap
Awin [awi],-5.833,142.5,#2883C1,Trans New Guinea,AwinPare,Papua New Guinea
Aymara [ayr],-16,-69.5,#3E6E50,Aymaran,,Peru
Jaqaru [jqr],-12.85,-76,#23705C,Aymaran,,Peru
Awa Pit [kwi],0.75,-78.5,#269062,Barbacoan,Northern,Ecuador
Cayapa [cbi],1.2,-78.75,#2D9F89,Barbacoan,Southern,Ecuador
Tsafiki [cof],-0.25,-79.33,#0E8C88,Barbacoan,Southern,Ecuador
Basque [eus],43.2,-3,#4A8063,Basque,,Spain
Amanab [amn],-3.5,141.167,#5D97AE,Trans New Guinea,Border,Papua New Guinea
Awyi [auw],-3,140.75,#3D5EB4,Trans New Guinea,Border,Papua New Guinea
Imonda [imn],-3.25,141.167,#618F99,Trans New Guinea,Border,Papua New Guinea
Manem [jet],-2.917,141,#5A70AB,Trans New Guinea,Border,Papua New Guinea
Edolo [etr],-6.083,142.667,#3C87C6,Trans New Guinea,Bosavi,Papua New Guinea
Kaluli [bco],-6.417,142.833,#3B84BE,Trans New Guinea,Bosavi,Papua New Guinea
Maklew [mgf],-7.583,140.167,#527D74,Bulaka,,Indonesia
Yelmek [jel],-7.667,139.75,#3F9F7B,Bulaka,,Indonesia
Burushaski [bsk],36.5,74.5,#215D51,Burushaski,,Pakistan
Pawnee [paw],41,-98.67,#3D2599,Caddoan,Northern,USA
Wichita [wic],33.33,-97.33,#843977,Caddoan,Northern,USA
Jebero [jeb],-5.2,-76.4,#5C3D7B,Cahuapanan,,Peru
Camsá [kbh],1,-77,#4F2073,Camsá,,Colombia
Candoshi [cbu],-4.17,-77,#375A8C,Candoshi,,Peru
Apalai [apy],0,-54,#6D2A9A,Cariban,Apalai,Brazil
Carib [car],7.85,-59,#524574,Cariban,Guianan Carib,Guyana
Dekwana [mch],4.5,-63.5,#5D3C92,Cariban,Guianan Carib,Venezuela
Hixkaryana [hix],1.5,-60,#6E3E79,Cariban,Parukotan,Brazil
Macushi [mbc],4.5,-60,#486364,Cariban,Venezuelan,Brazil
Tiriyó [tri],2.5,-56.33,#5D2093,Cariban,Guianan Carib,Suriname
Wai wai [waw],1.5,-58.5,#624395,Cariban,Parukotan,Brazil
Cayuvava [cyb],-12.5,-67,#BE494B,Cayuvava,,Bolivia
Wari' [pav],-11.5,-65,#D06273,Chapacura,More-Waric,Brazil
Damana [mbp],10.9,-73.6,#5B6198,Chibchan,East,Colombia
Ika [arh],10.75,-73.5,#516190,Chibchan,East,Colombia
Muisca [chb],7,-73,#3A48A5,Chibchan,East,Colombia
Tunebo [tnd],6.75,-72.25,#49A6A8,Chibchan,East,Colombia
Ngabere [gym],8.5,-81,#5DBD96,Chibchan,West,Panama
Pech [pay],15,-85.5,#3C6890,Chibchan,East,Honduras
Rama [rma],11.5,-83.9,#5B729A,Chibchan,East,Nicaragua
Bribri [bzd],9.5,-83,#6A97AE,Chibchan,West,Costa Rica
Teribe [tfr],9,-83,#6F99C3,Chibchan,West,Panama
Quileute [qui],47.925,-124.25,#795225,Chimakuan,,USA
Chiquitano [cax],-17.5,-62,#8B537B,Chiquitano,,Bolivia
Chitimacha [ctm],29.67,-91,#4F65AA,Totozoquean-Chitimacha,Chitimacha,USA
Embera_Baudo [bdc],5.2,-76.8,#4D7D95,Chocoan,Emberá,Colombia
Waunana [noa],4,-77,#297D8B,Chocoan,Woun Meu,Colombia
Cholon [cht],-8,-77.5,#5D4A88,Cholon,,Peru
Selknam [ona],-53.2,-68.6,#746280,Chonan,Chonan Proper,Argentina
Nivaclé [cag],-41.5,-65.6,#713F73,Matacoan,Nivacle,Argentina
Chukchi [ckt],67,-173,#4B816F,Chukotko-Kamchatkan,Main,Russia
Koryak [kpy],61,167,#2B636D,Chukotko-Kamchatkan,Main,Russia
Itelmen [itl],57,157,#326155,Chukotko-Kamchatkan,Main,Russia
Chumash [boi],34.5,-120.25,#863A5D,Chumash,,USA
Coahuilteco [xcw],28,-100,#6237B0,Coahuilteco,,USA
Daga [dgz],-10,149.25,#796EA1,Southeast Papuan,Dagan,Papua New Guinea
Kolami [kfb],20,78.5,#21BE5E,Dravidian,Central,India
Brahui [brh],29,67,#399A66,Dravidian,North,Pakistan
Malto [kmj],25,87.333,#14C567,Dravidian,North,India
Gondi [gno],19,84.6,#15C86A,Dravidian,South-central,India
Koya [kff],17.5,81.333,#16C658,Dravidian,South-central,India
Kui [kxu],20,83.5,#1EC662,Dravidian,South-central,India
Kuvi [kxv],18.75,82.667,#1FC575,Dravidian,South-central,India
Telugu [tel],16,79.5,#1FB057,Dravidian,South-central,India
Kannada [kan],15,76,#219265,Dravidian,South,India
Kodagu [kfa],13.08,76.42,#0CB067,Dravidian,South,India
Malayalam [mal],8.5,77,#2BC252,Dravidian,South,India
Tamil [tam],12,79,#0E9164,Dravidian,South,India
Tulu [tcy],12.75,75.333,#11BD63,Dravidian,South,India
Meyah [mej],-1,133.667,#B55EAD,East Bird's Head,,Indonesia
Sougb [mnx],-1.5,134,#9A62B0,East Bird's Head,,Indonesia
Buin [buo],-6.75,155.833,#394E7C,East Bougainville,,Papua New Guinea
Motuna [siw],-6.617,155.417,#464BA0,East Bougainville,,Papua New Guinea
Nasioi [nas],-6.333,155.583,#09759B,East Bougainville,,Papua New Guinea
Bauzi [bvz],-2.5,137.667,#4DBAA6,Geelvink Bay,,Indonesia
Kaki Ae [tbd],-8,145.833,#5F95A2,Trans New Guinea,Eleman,Papua New Guinea
Aleut [ale],54,-166,#105B6E,Eskimo-Aleut,Aleut,USA
West Greenlandic [kal],61,-48,#334286,Eskimo-Aleut,Eskimo,Greenland (Denmark)
Yup'ik_Central_Alaskan [esu],59.5,-160,#2D6879,Eskimo-Aleut,Eskimo,USA
Siberian Yupik [ess],65,-175,#285488,Eskimo-Aleut,Eskimo,Russia
Taiap [gpn],-4.033,144.5,#4455B4,Taiap,,Papua New Guinea
Gogodala [ggw],-8.083,143,#1470A6,Papuan Gulf,Gogodala-Suki,Papua New Guinea
Yuracaré [yuz],-16.5,-65,#594465,Yurakare,,Bolivia
Abipon [axb],-26,-61,#9F5447,Guaicuruan,Southern,Argentina
Kadiwéu [kbc],-20,-57,#9F4F7E,Guaicuruan,Northern,Brazil
Mocoví [moc],-27,-62,#89508F,Guaicuruan,Southern,Argentina
Pilagá [plg],-25,-60,#963774,Guaicuruan,Southern,Argentina
Toba [tob],-26.5,-59,#7F507D,Guaicuruan,Southern,Argentina
Haida [hdn],53,-132,#667286,Haida,,Canada
Green Hmong [hnj],18.816,98.883,#DDD574,Hmong-Mien,Hmongic,Thailand
Mien Yao [ium],20.833,101.167,#CFD399,Hmong-Mien,Mienic,Laos
Chimariko [cid],41,-123,#4F4E92,Chimariko,,USA
Achumawi [acv],41.5,-121,#5C4F68,Palaihnihan,,USA
Atsugewi [atw],40.75,-121,#635459,Palaihnihan,,USA
Pomo_Central [poo],39,-123.33,#40BB99,Pomoan,Western,USA
Pomo_Eastern [peb],39,-122.67,#38A4B1,Pomoan,Eastern,USA
Pomo_North-eastern [pej],39.33,-122.67,#44B39D,Pomoan,Northeastern,USA
Pomo_Southeastern [pom],38.83,-122.5,#299E81,Pomoan,Southeastern,USA
Seri [sei],29,-112.5,#742DB3,Seri,,Mexico
Shasta [sht],41.83,-122.67,#7B239A,Shasta,,USA
Cocopa [coc],32.5,-115,#4C35B1,Yuman-Cochimi,Yuman,USA
Diegueño [dih],32.67,-116.17,#5F47A6,Yuman-Cochimi,Yuman,USA
Walapai [yuf],35.5,-113.75,#2A5796,Yuman-Cochimi,Yuman,USA
Kiliwa [klb],31.33,-115.67,#574AAA,Yuman-Cochimi,Yuman,USA
Maricopa [mrc],33.17,-113.17,#5637B2,Yuman-Cochimi,Yuman,USA
Mohave [mov],34.67,-114.58,#5241AC,Yuman-Cochimi,Yuman,USA
Jamul Tiipay [dih-2],32.17,-116.5,#6F51AA,Yuman-Cochimi,Yuman,USA
Huave [huv],16.2,-95,#BE5456,Huave,,Mexico
Muinane [bmr],-1,-72.5,#365E76,Boran,,Colombia
Huitoto_Minica [huu],-2.4,-72.25,#3C725C,Witoto,Witoto Proper,Colombia
Huitoto_Murui [hux],-1,-73.5,#34857E,Witoto,Witoto Proper,Colombia
Albanian_Tosk [als],40.5,20,#6C8C22,Indo-European,Albanian,Albania
Armenian [hye],40,45,#3E9C38,Indo-European,Armenian,Armenia
Latvian [lav],56.8,24.1,#549A20,Indo-European,Balto-Slavic,Latvia
Lithuanian [lit],54.9,23.9,#3F9631,Indo-European,Balto-Slavic,Lithuania
Breton [bre],48,-3.5,#886314,Indo-European,Celtic,France
Cornish [cor],50.5,-4.5,#9C8243,Indo-European,Celtic,Britain
Scots Gaelic [gla],57,-5,#76772E,Indo-European,Celtic,Britain
Irish [gle],53,-7,#92732C,Indo-European,Celtic,Ireland
Welsh [cym],52.3,-4,#917B21,Indo-European,Celtic,Britain
Afrikaans [afr],-33.9,18.5,#9AD238,Indo-European,Germanic,South Africa
Danish [dan],56,10,#7EC728,Indo-European,Germanic,Denmark
Dutch [nld],52,7,#73A814,Indo-European,Germanic,Netherlands
English [eng],52,0,#7EAA17,Indo-European,Germanic,Britain
Faroese [fao],61.5,-7,#6BC40D,Indo-European,Germanic,Denmark
Frisian [frs],53.2,5.76,#74B124,Indo-European,Germanic,Netherlands
German [deu],50,10,#64AC15,Indo-European,Germanic,Germany
Icelandic [isl],65,-19,#66B81A,Indo-European,Germanic,Iceland
Norwegian [nob],62,8,#7DC827,Indo-European,Germanic,Norway
Swedish [swe],58.41,15.62,#7CB526,Indo-European,Germanic,Sweden
Greek [ell],38,23,#60980C,Indo-European,Greek,Greece
Assamese [asm],26.5,93,#29A953,Indo-European,Indo-Iranian,India
Bengali [ben],22.5,90,#30B845,Indo-European,Indo-Iranian,Bangladesh
Bhojpuri [bho],26.8,85.3,#2DA939,Indo-European,Indo-Iranian,India
Dumaki [dmk],36.167,74,#25C449,Indo-European,Indo-Iranian,Pakistan
Gujarati [guj],23.25,72.7,#30B82E,Indo-European,Indo-Iranian,India
Hindi [hin],27.2,79.5,#3CB132,Indo-European,Indo-Iranian,India
Kashmiri [kas],34,76,#2E9247,Indo-European,Indo-Iranian,India
Kumauni [kfy],30,80,#1EC13E,Indo-European,Indo-Iranian,India
Maithili [mai],26.5,86,#41AF4F,Indo-European,Indo-Iranian,India
Marathi [mar],18,74.5,#21B751,Indo-European,Indo-Iranian,India
Nepali [nep],28.72,82,#27AE5C,Indo-European,Indo-Iranian,Nepal
Oriya [ori],21,85,#2FBA4B,Indo-European,Indo-Iranian,India
Punjabi [pan],31,75,#33BC37,Indo-European,Indo-Iranian,India
Romany [rmy],45,21,#43A532,Indo-European,Indo-Iranian,Romania
Shina [scl],36,74,#1BBC51,Indo-European,Indo-Iranian,Pakistan
Sinhalese [sin],6.9,79.9,#3BBD62,Indo-European,Indo-Iranian,Sri Lanka
Torwali [trw],34.25,72,#15BD3F,Indo-European,Indo-Iranian,Pakistan
Urdu [urd],29,71,#47A939,Indo-European,Indo-Iranian,Pakistan
Baluchi [bgp],28,62,#43AE52,Indo-European,Indo-Iranian,Iran
Gilaki [glk],37.75,49,#439C51,Indo-European,Indo-Iranian,Iran
Kurdish [kmr],36,44,#5B6752,Indo-European,Indo-Iranian,Iraq
Kurmanji [kmr-2],38,42,#3F695B,Indo-European,Indo-Iranian,Turkey
Ossetian [oss],42.41,43.95,#389248,Indo-European,Indo-Iranian,Georgia
Pashto [pst],35,65,#4D894F,Indo-European,Indo-Iranian,Afghanistan
Farsi [pes],32,54,#698349,Indo-European,Indo-Iranian,Iran
Tajik [tgk],38.667,70,#63A74E,Indo-European,Indo-Iranian,Tajikistan
Talysh [tly],39,48.85,#16945B,Indo-European,Indo-Iranian,Iran
Tati [tks],36,49.67,#14924D,Indo-European,Indo-Iranian,Iran
Wakhi [wbl],36.5,72,#27BA43,Indo-European,Indo-Iranian,Pakistan
Catalan [cat],41.4,2.3,#77A320,Indo-European,Romance,Spain
French [fra],48,3,#84A120,Indo-European,Romance,France
Italian [ita],43,14,#90971D,Indo-European,Romance,Italy
Portuguese [por],39,-8,#8B9B23,Indo-European,Romance,Portugal
Romanian [ron],45,27,#6D9F24,Indo-European,Romance,Romania
Romansh [roh],46.8,9.4,#78A611,Indo-European,Romance,Switzerland
Sardinian [sro],40,9,#76AC22,Indo-European,Romance,Italy
Spanish [spa],41.65,-4.75,#7D8E0D,Indo-European,Romance,Spain
Belarussian [bel],54,27,#4BA81C,Indo-European,Balto-Slavic,Belarus
Bulgarian [bul],43,25,#699619,Indo-European,Balto-Slavic,Bulgaria
Czech [ces],50,14.5,#439D3C,Indo-European,Balto-Slavic,Czech Republic
Macedonian [mkd],41.6,22,#52B21B,Indo-European,Balto-Slavic,Macedonia
Polish [pol],52,20,#54AA1A,Indo-European,Balto-Slavic,Poland
Russian [rus],55,38,#5EA610,Indo-European,Balto-Slavic,Russia
Serbian [srp],45,20,#5FB423,Indo-European,Balto-Slavic,Serbia
Slovene [slv],46,14.5,#54A31F,Indo-European,Balto-Slavic,Slovenia
Sorbian [dsb],52,13.75,#39A62D,Indo-European,Balto-Slavic,Germany
Ukrainian [ukr],49,32,#4FAC1E,Indo-European,Balto-Slavic,Ukraine
Mohawk [moh],45,-74.66,#783774,Iroquoian,Northern,Canada
Oneida [one],43,-75.67,#9B3B53,Iroquoian,Northern,USA
Seneca [see],42.5,-77.5,#92248E,Iroquoian,Northern,USA
Tuscarora [tus],36,-77.5,#8D3C87,Iroquoian,Northern,USA
Cherokee [chr],35.5,-83.5,#74477C,Iroquoian,Southern,USA
Itonama [ito],-12,-65,#8C217C,Itonama,,Bolivia
Jabutí [jbt],-12,-63,#6A57B6,Macro-Je,Jabutí,Brazil
Japanese [jpn],37,140,#41B27C,Japonic,Japanese,Japan
Achuar [acu],-3,-76,#234E94,Jivaroan,,Peru
Jivaro [jiv],-3,-78.25,#30936B,Jivaroan,,Ecuador
Katcha [xtc-2],10.83,29.67,#BD4D62,Kadu,Central Kadu,Sudan
KarkarYuri [yuj],-3.75,141.083,#4C91BD,Trans New Guinea,Karkar-Yuri,Papua New Guinea
Karok [kyh],41.67,-123,#50427D,Karok,,USA
Georgian [kat],41.72,44.78,#458743,Kartvelian,Georgian,Georgia
Laz [lzz],41.274,41.151,#4E6262,Kartvelian,Zan,Turkey
Tamagario [tcg],-6.5,139,#6D7EB3,Trans New Guinea,Kayagar-Kolopom,Indonesia
Laguna [kjq],35.25,-107.33,#785288,Keresan,Western,USA
Santa Ana [kee],35.42,-106.67,#6D64B0,Keresan,Eastern,USA
||Ana [gnk-2],-22.2,22.4,#6D8453,Khoe,Khoe,Botswana
Nama [naq],-24,18,#619150,Khoe,Khoe,Botswana
Korana [kqz],-26,22,#5F885C,Khoe,Khoe,Botswana
||Gana [gnk],-19,22.5,#60816B,Khoe,Khoe,Botswana
Ju|'hoan [ktz],-19,21,#D4AA9C,Kx'aa,,Namibia
Sandawe [sad],-5.22,35.43,#675E93,Khoe,Khoe,Tanzania
!Xoon [nmn],-24,21.5,#99917E,Tuu,!Kwi,Botswana
|Xam [xam],-30.34,21.82,#9C8D72,Tuu,!Kwi,South Africa
Kiowa [kio],37,-99,#644693,Kiowa-Tanoan,Kiowa-Towa,USA
Kiwai [kjd],-8.583,143.25,#646878,Kiwaian,,Papua New Guinea
Kimaama [kig],-8,138.883,#9585D8,Trans New Guinea,Kayagar-Kolopom,Indonesia
Riantana [ran],-7.5,138.583,#7D86EA,Trans New Guinea,Kayagar-Kolopom,Indonesia
Korean [kor],37,128,#54C06D,Korean,,Korea
Kuot [kto],-3.083,151.5,#BF3A42,Kuot,,Papua New Guinea
Kusunda [kgg],28.33,83.1,#629795,Kusunda,,Nepal
Kutenai [kut],49.5,-116,#9E4026,Kutenai,,Canada
Kwaza [xwa],-12,-60.5,#5A4E9A,Kwaza,,Brazil
Kwerba [kwe],-2.167,138.5,#38589A,Kwerba,Nuclear,Indonesia
Laal [gdm],10,17.67,#A05D6C,Laal,,Chad
Doutai [tds],-3.25,138.25,#77D2B4,Lakes Plains,Eastern,Indonesia
Iau [tmu],-3.167,138,#99D1BE,Lakes Plains,Eastern,Indonesia
Warembori [wsa],-1.65,137.6,#A65BB9,Malayo-Polynesian,Eastern Malayo-Polynesian,Indonesia
Rao [rao],-4.833,144.5,#7FA7CE,Lower Sepik-Ramu,Ramu,Papua New Guinea
Kambot [kbx],-4.333,144.133,#66A0C4,Lower Sepik-Ramu,Ramu,Papua New Guinea
Watam [wax],-4,144.583,#3EA5AC,Lower Sepik-Ramu,Ramu,Papua New Guinea
Chambri [can],-4.167,143.083,#7535AD,Lower Sepik-Ramu,Lower Sepik,Papua New Guinea
Yimas [yee],-4.68,143.543,#4D3274,Lower Sepik-Ramu,Lower Sepik,Papua New Guinea
Kire [geb],-4.417,144.75,#59B3B7,Lower Sepik-Ramu,Ramu,Papua New Guinea
Boróro [bor],-15,-52,#6A419D,Macro-Je,Bororo,Brazil
Apinaye [apn],-6.25,-48,#B05FB2,Macro-Je,Je,Brazil
Canela-Krahô [ram],-6.5,-45,#927BAD,Macro-Je,Je,Brazil
Kaingang [kgp],-22,-48,#82C0B7,Macro-Je,Je,Brazil
Krahô [xra],-8,-48,#7F7DAC,Macro-Je,Je,Brazil
Xavante [xav],-14,-52,#6A6DAD,Macro-Je,Je,Brazil
Guató [gta],-16,-66,#A82A64,Macro-Je,Guato,Bolivia
Karirí_Dzubukua [kzw],-10,-37,#896172,Karirí,,Brazil
Rikbaktsa [rkb],-11.5,-57.3,#823092,Macro-Je,Rikbaktsa,Brazil
Boazi [kvg],-7,141.25,#614FC0,Anim,Boazi,Papua New Guinea
Marind [mrz],-8,140.5,#674F91,Anim,Marind-Yaqay,Indonesia
Yaqay [jaq],-6.583,139.333,#4B49C4,Anim,Marind-Yaqay,Indonesia
Zimakani [zik],-7.333,141.5,#655BBB,Anim,Boazi,Papua New Guinea
Wichí [mzh],-22.5,-62.583,#9D5670,Matacoan,Mataco,Argentina
Cakchiquel [ckf],14.5,-91,#A95D40,Mayan,Quiche-Mam,Guatemala
Chontal [chd],18.17,-92.58,#A36532,Mayan,Chol-Tzeltal,Mexico
Chuj [cac],16,-91.5,#C84D3A,Mayan,Kanjobal-Chuj,Mexico
Huastec [hsf],22.08,-99.33,#AD6E31,Mayan,Huastecan,Mexico
